url,address,city_state_zip,full_address,lat,lon,address2,housing_type,baths,beds,sqft,soundscore,noise,central_air,date_sold,garage,lot_size,patio,porch, sold_price ,year_built
https://www.redfin.com/TX/Austin/4114-Lullwood-Rd-78722/home/31418598,4114 Lullwood Rd,"Austin, TX 78722","4114 Lullwood RdAustin, TX 78722",30.2973,-97.7138,,House,2,3,2092,69,Moderate Noise,N,3/23/2018,Y,10759,N,N,652500,1948
https://www.redfin.com/TX/Austin/2943-Higgins-St-78722/home/31393175,2943 Higgins St,"Austin, TX 78722","2943 Higgins St Austin, TX 78722",30.28258,-97.70576,,House,1,1,576,70,Moderate Noise,Y,8/21/2020,Y,6055,Y,Y,319999,1947
https://www.redfin.com/TX/Austin/3405-Banton-Rd-78722/home/31403092,3405 Banton Rd,"Austin, TX 78722","3405 Banton Rd Austin, TX 78722",30.28657,-97.70791,,House,1,3,1233,70,Moderate Noise,Y,8/13/2020,Y,7540,Y,Y,390000,1948
https://www.redfin.com/TX/Austin/4210-Wilshire-Pkwy-78722/home/31417593,"4210 Wilshire Pkwy,","Austin, TX 78722","4210 Wilshire Pkwy, Austin, TX 78722",30.29762,-97.71208,,House,1,2,944,70,Moderate Noise,Y,12/22/2020,Y,7579,Y,Y,425000,1947
https://www.redfin.com/TX/Austin/1406-E-34th-St-78722/unit-B/home/172580476,1406 E 34th St ,"Austin, TX 78722","1406 E 34th St  Austin, TX 78722",30.29065,-97.7173,"Unit B,",House,2.5,2,893,70,Moderate Noise,Y,10/16/2020,Y,5968,Y,Y,442500,2020
https://www.redfin.com/TX/Austin/3001-Breeze-Ter-78722/home/31396132,"3001 Breeze Ter,","Austin, TX 78722","3001 Breeze Ter, Austin, TX 78722",30.2856,-97.71862,,House,1,2,1172,70,Moderate Noise,Y,1/9/2021,N,7667,N,N,477000,1947
https://www.redfin.com/TX/Austin/2903-Breeze-Ter-78722/home/31396136,2903 Breeze Ter,"Austin, TX 78722","2903 Breeze Ter Austin, TX 78722",30.28508,-97.71899,,House,1,2,1490,70,Moderate Noise,N,12/3/2020,Y,7231,N,N,485000,1947
https://www.redfin.com/TX/Austin/2100-Chicon-St-78722/home/31388932,"2100 Chicon St,","Austin, TX 78722","2100 Chicon St, Austin, TX 78722",30.28191,-97.7219,,House,1,2,768,70,Moderate Noise,Y,4/9/2021,Y,8494,N,Y,549999,1930
https://www.redfin.com/TX/Austin/1406-E-34th-St-78722/unit-A/home/31402512,1406 E 34th St,"Austin, TX 78722","1406 E 34th St Austin, TX 78722",30.29065,-97.7173, Unit A,House,2,2,1498,70,Moderate Noise,N,5/1/2021,Y,5981,N,N,650000,2019
https://www.redfin.com/TX/Austin/4020-Airport-Blvd-78722/unit-7/home/144007587,4020 Airport Blvd,"Austin, TX 78722","4020 Airport Blvd Austin, TX 78722",30.29311,-97.70816,#7,House,2,4,2145,70,Moderate Noise,N,2/11/2021,N,2927,N,N,650000,2017
https://www.redfin.com/TX/Austin/4209-Parkwood-Rd-78722/home/31418678,4209 Parkwood Rd,"Austin, TX 78722","4209 Parkwood Rd Austin, TX 78722",30.29782,-97.71238,,House,2,3,1768,70,Moderate Noise,Y,8/21/2020,Y,15246,Y,Y,700000,1955
